year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type
2020,Acura,TLX,81676.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,38549,12.0,8.2,2.4,6.0,V-Engine
2019,Acura,RDX,30192.0,SUV,Automatic,4X4,black,black,5,4,gasoline,38995,11.0,8.6,2.0,4.0,Inline
2020,Acura,TLX,49921.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,40850,12.0,8.2,2.4,6.0,V-Engine
2019,Acura,RDX,13289.0,SUV,Automatic,4X4,white,black,5,4,gasoline,43995,11.0,8.6,2.4,4.0,Inline
2020,Acura,RDX,27800.0,SUV,Automatic,4X4,black,black,5,4,gasoline,49099,11.3,9.1,2.0,4.0,Inline
2022,Acura,TLX,7700.0,Sedan,Automatic,4X4,blue,black,5,4,gasoline,49988,11.3,8.1,2.4,4.0,Inline
2020,Acura,MDX,65684.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,40995,12.3,9.2,3.5,6.0,V-Engine
2008,Acura,MDX,184000.0,SUV,Automatic,4X4,black,beige,7,4,gasoline,9995,13.8,10.0,2.4,6.0,V-Engine
2013,Acura,MDX,244685.0,SUV,Automatic,4X4,black,brown,7,4,gasoline,11888,13.2,9.6,3.7,4.0,Other
2016,Acura,ILX,203360.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,15299,10.8,8.7,2.4,4.0,Inline
2014,Acura,TL,168000.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,15895,10.4,6.8,2.4,6.0,Inline
2011,Acura,MDX,154800.0,SUV,Automatic,4X4,black,black,5,4,gasoline,15995,13.2,9.6,3.7,6.0,Inline
2015,Acura,ILX,171697.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,15995,9.8,6.7,2.0,4.0,Inline
2014,Acura,MDX,220000.0,SUV,Automatic,4X4,white,beige,7,4,gasoline,18995,10.8,8.7,2.4,6.0,Inline
2017,Acura,TLX,191000.0,Sedan,Automatic,4X4,silver,black,5,4,gasoline,19995,11.2,7.5,2.4,6.0,Inline
2017,Acura,ILX,122000.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,21950,9.4,6.8,2.4,4.0,Inline
2017,Acura,MDX,91412.0,SUV,Automatic,4X4,black,black,5,4,gasoline,33994,12.6,9.0,2.4,6.0,V-Engine
2020,Acura,ILX,10717.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,28995,9.9,7.0,2.4,4.0,Inline
2019,Acura,TLX,60529.0,Sedan,Automatic,4X4,white,red,5,4,gasoline,34779,12.0,8.2,2.4,6.0,V-Engine
2019,Acura,TLX,34396.0,Sedan,Automatic,4X4,black,brown,5,4,gasoline,36499,11.4,7.7,3.5,6.0,Inline
2019,Acura,RDX,65882.0,SUV,Automatic,4X4,white,red,5,4,gasoline,41990,11.3,9.1,2.0,4.0,Other
2020,Acura,RDX,50329.0,SUV,Automatic,4X4,black,red,5,4,gasoline,44995,11.3,9.1,2.4,4.0,Inline
2002,Acura,EL,229000.0,Sedan,Automatic,FWD,brown,beige,5,4,gasoline,2998,8.2,6.1,1.7,4.0,V-Engine
2003,Acura,RSX,230098.0,Coupe,Manual,FWD,black,black,4,2,gasoline,6999,8.7,6.5,2.4,4.0,Inline
2002,Acura,EL,123338.0,Sedan,Automatic,FWD,red,black,5,4,gasoline,6999,8.2,6.1,2.4,4.0,Inline
2005,Acura,RSX,191492.0,Coupe,Automatic,FWD,silver,black,4,2,gasoline,7999,9.3,6.4,2.4,4.0,Inline
2018,Acura,MDX,94862.0,SUV,Automatic,4X4,black,black,7,4,gasoline,34743,12.6,9.0,2.4,4.0,Other
2008,Acura,RDX,226356.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,8995,12.5,9.3,2.3,4.0,Inline
2016,Acura,ILX,99000.0,Sedan,Automatic,FWD,blue,black,5,4,gasoline,22900,9.4,6.5,2.4,4.0,Inline
2016,Acura,RDX,81000.0,SUV,Automatic,4X4,white,beige,5,4,gasoline,24880,10.8,8.7,3.5,4.0,Other
2019,Acura,ILX,41116.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,29995,9.9,7.0,2.4,4.0,Inline
2019,Acura,TLX,103658.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,34995,12.0,8.2,3.5,6.0,V-Engine
2019,Acura,TLX,10735.0,Sedan,Automatic,4X4,silver,black,5,4,gasoline,35495,11.4,7.7,3.5,6.0,V-Engine
2019,Acura,TLX,50412.0,Sedan,Automatic,4X4,silver,black,5,4,gasoline,35995,11.7,7.949999999999999,3.5,6.0,V-Engine
2022,Acura,ILX,10122.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,35995,9.9,7.0,2.4,4.0,Inline
2019,Acura,RDX,80862.0,SUV,Automatic,4X4,black,black,5,4,gasoline,35995,11.0,8.6,2.0,4.0,Inline
2018,Acura,ILX,33810.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,26988,9.4,6.8,2.4,4.0,Inline
2019,Acura,RDX,67934.0,SUV,Automatic,4X4,black,black,5,4,gasoline,36995,11.0,8.6,2.0,4.0,Inline
